Date/Time,Temprature C,Humidity %,Pressure kpa,Wind Speed_km/h,Visibility_km,Weather
1/1/2012 0:00,-1.8,86,101.24,4,8,Fog
1/1/2012 1:00,-1.8,87,101.24,4,8,Fog
1/1/2012 2:00,-1.8,89,101.26,7,4,"Freezing Drizzle,Fog"
1/1/2012 3:00,-1.5,88,101.27,6,4,"Freezing Drizzle,Fog"
1/1/2012 4:00,-1.5,88,101.23,7,4.8,Fog
1/1/2012 5:00,-1.4,87,101.27,9,6.4,Fog
1/1/2012 6:00,-1.5,89,101.29,7,6.4,Fog
1/1/2012 7:00,-1.4,85,101.26,7,8,Fog
1/1/2012 8:00,-1.4,85,101.23,9,8,Fog
1/1/2012 9:00,-1.3,88,101.2,15,4,Fog
1/1/2012 10:00,-1,91,101.15,9,1.2,Fog
1/1/2012 11:00,-0.5,89,100.98,7,4,Fog
1/1/2012 12:00,-0.2,88,100.79,9,4.8,Fog
1/1/2012 13:00,0.2,87,100.58,13,4.8,Fog
1/1/2012 14:00,0.8,87,100.31,20,4.8,Fog
1/1/2012 15:00,1.8,85,100.07,22,6.4,Fog
1/1/2012 16:00,2.6,82,99.93,13,12.9,Mostly Cloudy
1/1/2012 17:00,3,81,99.81,13,16.1,Cloudy
1/1/2012 18:00,3.8,82,99.74,15,12.9,Rain
1/1/2012 19:00,3.1,88,99.68,15,12.9,Rain
1/1/2012 20:00,3.2,87,99.5,19,25,Cloudy
1/1/2012 21:00,4,85,99.39,20,25,Cloudy
1/1/2012 22:00,4.4,84,99.32,24,19.3,Rain Showers
1/1/2012 23:00,5.3,79,99.31,30,25,Cloudy
1/2/2012 0:00,5.2,77,99.26,35,25,Rain Showers
1/2/2012 1:00,4.6,72,99.26,39,25,Cloudy
1/2/2012 2:00,3.9,71,99.26,32,25,Mostly Cloudy
1/2/2012 3:00,3.7,69,99.3,33,25,Mostly Cloudy
1/2/2012 4:00,2.9,69,99.26,32,25,Mostly Cloudy
1/2/2012 5:00,2.6,70,99.21,32,25,Mostly Cloudy
1/2/2012 6:00,2.3,70,99.18,26,25,Mostly Cloudy
1/2/2012 7:00,2,70,99.14,33,25,Mostly Cloudy
1/2/2012 8:00,1.9,68,99.14,39,24.1,Mostly Cloudy
1/2/2012 9:00,1.8,67,99.14,44,24.1,Mostly Cloudy
1/2/2012 10:00,1.5,66,99.18,43,24.1,Mostly Cloudy
1/2/2012 11:00,2.2,66,99.19,30,24.1,Mostly Cloudy
1/2/2012 12:00,1.7,56,99.21,48,24.1,Mainly Clear
1/2/2012 13:00,1.1,57,99.27,37,24.1,Mostly Cloudy
1/2/2012 14:00,1.1,56,99.33,33,24.1,Mostly Cloudy
1/2/2012 15:00,0,59,99.41,33,24.1,Mostly Cloudy
1/2/2012 16:00,-0.7,55,99.5,24,24.1,Mostly Cloudy
1/2/2012 17:00,-2.1,57,99.66,22,25,Snow Showers
1/2/2012 18:00,-4.1,57,99.86,28,25,Mostly Cloudy
1/2/2012 19:00,-4.8,57,100,24,25,Mostly Cloudy
1/2/2012 20:00,-5.6,54,100.07,24,25,Snow Showers
1/2/2012 21:00,-5.8,58,100.15,26,25,Snow Showers
1/2/2012 22:00,-7,54,100.26,20,25,Cloudy
1/2/2012 23:00,-7.4,59,100.27,17,19.3,Snow Showers
1/3/2012 0:00,-9,57,100.35,28,25,Snow Showers
1/3/2012 1:00,-9.7,54,100.43,20,25,Cloudy
1/3/2012 2:00,-10.5,65,100.53,22,12.9,Snow Showers
1/3/2012 3:00,-11.3,54,100.61,33,25,Snow Showers
1/3/2012 4:00,-12.6,53,100.68,24,25,Cloudy
1/3/2012 5:00,-12.9,60,100.76,22,25,Snow Showers
1/3/2012 6:00,-13.3,61,100.85,19,25,Snow Showers
1/3/2012 7:00,-14,63,100.95,19,25,Snow
1/3/2012 8:00,-14.8,58,101.07,26,24.1,Mostly Cloudy
1/3/2012 9:00,-15,56,101.2,19,24.1,Mostly Cloudy
